,start_station_id,start_station_latitude,start_station_longitude,average_daily_rides
0,72,40.76727216,-73.99392888,5.642857142857143
1,79,40.71911552,-74.00666661,4.357142857142857
2,82,40.71117416,-74.00016545,2.185185185185185
3,83,40.68382604,-73.97632328,2.5714285714285716
4,116,40.74177603,-74.00149746,8.966666666666667
5,119,40.69608941,-73.97803415,1.1666666666666667
6,120,40.68676793,-73.95928168,1.9230769230769231
7,127,40.73172428,-74.00674436,8.433333333333334
8,128,40.72710258,-74.00297088,8.8
9,137,40.761628,-73.972924,2.814814814814815
10,143,40.69239502,-73.99337909,2.0869565217391304
11,144,40.69839895,-73.98068914,1.625
12,146,40.71625008,-74.0091059,3.7666666666666666
13,147,40.71542197,-74.01121978,7.833333333333333
14,150,40.7208736,-73.98085795,3.423076923076923
15,151,40.7218158,-73.99720307,9.8
16,152,40.71473993,-74.00910627,4.448275862068965
17,153,40.752062307,-73.9816324043,6.2
18,157,40.69089272,-73.99612349,3.238095238095238
19,160,40.748238,-73.978311,4.0344827586206895
20,161,40.72917025,-73.99810231,6.633333333333334
21,164,40.75323098,-73.97032517,4.555555555555555
22,167,40.7489006,-73.97604882,6.206896551724138
23,168,40.73971301,-73.99456405,8.566666666666666
24,173,40.76064679,-73.98442659,5.233333333333333
25,174,40.7381765,-73.97738662,4.0344827586206895
26,195,40.70905623,-74.01043382,5.266666666666667
27,212,40.74334935,-74.00681753,4.8
28,216,40.70037867,-73.99548059,2.1176470588235294
29,217,40.70277159,-73.99383605,2.125
30,218,40.69028437,-73.98707105,1.1904761904761905
31,223,40.73781509,-73.99994661,6.2
32,224,40.71146364,-74.00552427,3.5
33,225,40.74195138,-74.00803013,2.966666666666667
34,228,40.7546011026,-73.971878855,4.666666666666667
35,229,40.72743423,-73.99379025,5.5
36,232,40.69597683,-73.99014892,1.5789473684210527
37,233,40.69246277,-73.98963911,3.357142857142857
38,236,40.7284186,-73.98713956,5.931034482758621
39,237,40.73047309,-73.98672378,6.833333333333333
40,238,40.7361967,-74.00859207,4.033333333333333
41,239,40.69196566,-73.9813018,1.962962962962963
42,241,40.68981035,-73.97493121,1.7391304347826086
43,242,40.69788349,-73.97350332,1.4666666666666666
44,243,40.687979,-73.978474,3.259259259259259
45,244,40.69196035,-73.96536851,1.6956521739130435
46,245,40.69327018,-73.97703874,1.2666666666666666
47,247,40.73535397999999,-74.00483091,4.172413793103448
48,248,40.72185379,-74.00771779,1.8
49,249,40.71870987,-74.0090009,2.8214285714285716
50,250,40.72456089,-73.99565293,3.1724137931034484
51,251,40.72317958,-73.99480012,6.566666666666666
52,252,40.73226398,-73.99852205,4.413793103448276
53,253,40.73543934,-73.99453948,5.137931034482759
54,254,40.73532427,-73.99800419,4.533333333333333
55,257,40.71939226,-74.00247214,3.6333333333333333
56,258,40.68940747,-73.96885458,1.72
57,259,40.70122128,-74.01234218,2.586206896551724
58,260,40.70365182,-74.01167797,2.7
59,261,40.69474881,-73.98362464,2.2916666666666665
60,262,40.69178232,-73.97372989,1.75
61,263,40.71729,-73.996375,5.344827586206897
62,264,40.70706456,-74.00731853,4.896551724137931
63,265,40.72229346,-73.99147535,5.551724137931035
64,266,40.72368361,-73.97574812999999,1.75
65,267,40.75097711,-73.98765428,3.3703703703703702
66,268,40.71910537,-73.99973337,5.793103448275862
